"","Cuant_Sinies","EDAD","ANTIGUEDAD","GENERO","INGRESOS","LONGITUD","LATITUD"
"80",313.66,48,2,0,772,-3.6437499606749,40.4373590378556
"81",441.1,60,2,0,3900,-3.50521177656483,40.2770654473454
"82",230.8,42,6,0,3631,-3.74252465283498,40.3713712831261
"83",472.69,51,1,1,3475,-3.49683230414521,40.4671871376224
"84",298.65,28,2,0,791,-3.6852388729807,40.4611633569468
"85",290.11,61,1,1,2132,-3.40082538218703,40.6297086249571
"86",277.42,55,5,0,1071,-3.60389394368976,40.5845815319801
"87",404.88,51,4,0,986,-3.40041000323836,40.5579958638875
"88",313.81,54,6,0,751,-3.72653481967282,40.4650983624626
"89",335.77,60,4,1,777,-3.42613030688372,40.3754735907307
"90",316.73,43,4,0,847,-3.69387561860494,40.5491171823116
"91",346.29,47,4,0,912,-3.46191941571888,40.3388509693788
"92",441.32,54,0,0,862,-3.42112239680719,40.3663341879612
"93",304.85,62,4,1,1488,-3.76314324638806,40.3683719101129
"94",461.7,51,2,0,2188,-3.75531585558783,40.6092486702139
"95",365.68,42,6,0,3316,-3.66152595982421,40.4459870501189
"96",200.56,21,6,1,406,-3.80086827427149,40.5944409098476
"97",366.74,25,2,0,531,-3.59072382652666,40.3134646006394
"98",294.25,39,2,0,1541,-3.63882821248844,40.5357322287047
"99",386.94,62,2,1,1642,-3.56355802037287,40.4507313218666
"100",437.22,49,3,1,5884,-3.88518640594557,40.6582080829423
"101",262.27,77,1,0,1356,-3.72039872556925,40.4218852819642
"102",353.61,54,2,0,1415,-3.89203076318372,40.5237997894175
"103",300.5,31,2,0,2049,-3.43108351235278,40.4815430189949
"104",281.98,38,2,0,2113,-3.56357354528736,40.5392156603513
"105",405.23,53,0,0,751,-3.69654652450699,40.4402735843789
"106",340.15,70,4,0,1302,-3.54168826839887,40.3890727499267
"107",418.22,63,0,1,2847,-3.5374652821105,40.4451990898699
"108",70.01,107,2,0,1217,-3.66284559827764,40.2821026309859
"109",308.55,50,1,1,2250,-3.81748878709041,40.4022048286162
"110",234.12,38,3,1,488,-3.60419410069007,40.6704828519607
"111",336.97,60,6,0,874,-3.64687783513218,40.3897010629764
"112",342.02,46,3,0,990,-3.59728298857808,40.4420742475661
"113",256.15,64,5,1,852,-3.77254234298598,40.4268142898101
"114",395.78,49,5,0,4366,-3.87727888182271,40.6367253262317
"115",259.7,72,3,0,950,-3.78704815367237,40.3808043149067
"116",302.59,55,6,1,2363,-3.62705605439842,40.608216358861
"117",420.79,41,0,0,1865,-3.70529343744274,40.2364463806618
"118",365.34,40,2,0,750,-3.44003972129431,40.3697789240861
"119",425.76,64,2,0,1873,-3.56638941632118,40.324804577441
"120",316.07,42,0,1,465,-3.41145308883861,40.605283495551
"121",232.82,67,2,0,838,-3.45129423458129,40.5677900771145
"122",301.38,56,5,1,1977,-3.85126039988827,40.4382375732996
"123",396.48,59,3,0,1601,-3.67164326899219,40.4440398394829
"124",354.94,34,2,1,595,-3.68302375460044,40.2875556005631
"125",303.02,53,6,0,1670,-3.54033811038826,40.6466298103798
"126",282.1,15,1,1,1464,-3.45683196627069,40.2128212600248
"127",323.54,51,5,0,4741,-3.84927215727512,40.4004873602418
"128",313.09,37,1,0,546,-3.69635610780679,40.3879221063573
"129",364.86,46,3,1,2323,-3.43267696499825,40.320565400226
"130",281.36,59,7,0,1611,-3.43223497874569,40.2285367955221
"131",293.89,31,4,0,4819,-3.47707875734195,40.5728675873717
"132",412.74,57,2,1,1550,-3.70518202402163,40.336249869829
"133",347.41,40,2,0,1725,-3.70623229697812,40.6709518513409
"134",270.48,32,5,0,1493,-3.68244397474919,40.4352094429079
"135",349.72,31,3,0,2224,-3.76591691605281,40.6279472043272
"136",328.48,31,1,0,2785,-3.59961304718163,40.5002046066104
"137",250.18,39,5,1,753,-3.71919319962617,40.6942725558067
"138",337.53,61,3,0,768,-3.84266937032808,40.6556453418918
"139",306.63,65,2,0,2065,-3.78986121304333,40.3047172083054
"140",295.58,31,3,0,455,-3.75709008143749,40.6210400602315
"141",297.25,59,4,0,1727,-3.63077966226265,40.3577423786512
"142",292.28,67,2,0,1699,-3.4066415918991,40.4969820543658
"143",303.66,50,2,1,1928,-3.51582633212674,40.6379409651738
"144",226.05,32,4,1,794,-3.61578217926435,40.5644302577013
"145",354.45,62,6,0,1759,-3.57689732054714,40.5373224392999
"146",416.16,31,0,0,6701,-3.69616318130866,40.3673250468448
"147",191.83,7,3,1,1080,-3.51317852174398,40.4322277043713
"148",238.16,17,2,0,491,-3.45061687214766,40.2909589035437
"149",178.44,21,5,1,608,-3.87073168307543,40.6285557013936
"150",340.23,61,4,0,764,-3.52999730778392,40.2197172577027
"151",363.4,55,3,0,2688,-3.79073996641673,40.5280097836396
"152",301.12,20,3,0,1126,-3.63059807159007,40.4626678427914
"153",204.21,39,6,1,1071,-3.68976123675238,40.6066957699833
"154",247.01,27,4,0,364,-3.77283311702777,40.313003895618
"155",274.26,39,3,0,2190,-3.68673927707132,40.4705713130999
"156",339.21,28,3,0,1473,-3.80483538329136,40.2228454978205
"157",379.78,41,3,0,532,-3.72992242451292,40.5074076308403
"158",205.42,18,5,0,705,-3.84440262427088,40.3252836382482
"159",323.06,49,3,0,1038,-3.74391508297995,40.6850157261826
"160",339.53,40,3,1,1419,-3.80522278251592,40.6497160279425
"161",290.19,43,4,1,1165,-3.76463460652158,40.5478975886246
"162",205.06,13,6,0,237,-3.61207933162805,40.459316488984
"163",279.56,76,5,0,1090,-3.60161513180938,40.5816948184976
"164",326.88,47,5,1,3977,-3.71605822080746,40.2702509897528
"165",374.46,46,1,0,798,-3.48227425185032,40.4601480969461
"166",423.54,48,4,1,3040,-3.74053990454413,40.2375185890589
"167",293.06,47,2,1,1559,-3.72538592722267,40.2292246324243
"168",363.81,61,5,0,855,-3.47849282352254,40.5644493026659
"169",398.78,37,1,0,1017,-3.7938283136813,40.4349039989058
"170",283.11,67,2,0,1483,-3.45387767089996,40.5434572608676
"171",259.98,30,2,0,518,-3.46435482634697,40.4497641604859
"172",373.75,52,4,0,1938,-3.40839324574918,40.3064492821461
"173",301.39,55,4,0,2579,-3.42652660000604,40.3860936543671
"174",290.78,32,5,0,4918,-3.72630320836324,40.3331761126639
"175",291.43,25,0,0,867,-3.78128182012588,40.6384063160978
"176",250.98,34,2,0,532,-3.44826647299342,40.6123764827382
"177",308.27,46,1,0,748,-3.6684962063795,40.2063725728542
"178",277.49,29,0,0,481,-3.74263495868072,40.5295994917862
"179",165.91,20,3,1,2844,-3.68518778039142,40.6486146189738
"180",373.9,48,4,0,1112,-3.78479279994499,40.4346595834242
"181",357.99,36,1,1,4735,-3.77422567454632,40.2849939497421
"182",368.01,61,1,0,3824,-3.87870516881812,40.2161908550654
"183",302.73,36,2,1,862,-3.56928393940907,40.6797210587421
"184",404.95,50,1,0,793,-3.42716012892779,40.5503314600093
"185",358.96,43,3,0,910,-3.74760365297552,40.609806925687
"186",408.08,61,2,0,1188,-3.70279610853177,40.283409009967
"187",324.5,40,2,0,3499,-3.57443997773807,40.4826734085102
"188",415.3,53,1,0,1544,-3.41795713743195,40.2890109363245
"189",408.66,53,3,0,1991,-3.48359257923439,40.5161986373598
"190",315.61,44,3,0,1442,-3.7663385217078,40.604850569088
"191",283.99,41,6,0,861,-3.5762282170821,40.4213283205638
"192",366.61,43,0,0,578,-3.5657059713034,40.4484182358021
"193",290.12,47,3,0,1308,-3.86101474657189,40.5842639789218
"194",358.14,63,3,0,1100,-3.4596697551664,40.3738577049691
"195",396.11,61,4,0,1075,-3.70161304748617,40.2951491437154
"196",304.33,44,3,1,1116,-3.84689859903883,40.4606775134336
"197",350.53,64,5,0,1976,-3.88324981774203,40.3591635601362
"198",360.63,55,1,1,1978,-3.47695026230067,40.6348170197336
"199",286.31,40,2,0,1032,-3.79347167522646,40.4143166097812
"200",420.9,62,1,0,1058,-3.78160694518592,40.5660457334481
"201",283.02,23,3,0,514,-3.70842322087847,40.4198760453612
"202",398.77,45,0,0,835,-3.78734101271257,40.6497373073828
"203",360.71,33,2,0,527,-3.77917911517434,40.2135843531461
"204",327.33,45,4,0,1395,-3.56209339350462,40.3861395930173
"205",291.02,70,2,0,942,-3.65454835966229,40.3840691994876
"206",395.83,51,1,0,4823,-3.60550670707598,40.5750184397213
"207",256.41,49,1,0,1763,-3.44459233500529,40.6721574424766
"208",347.88,31,0,1,2204,-3.62968657594174,40.6376365159405
"209",368.19,48,3,1,1284,-3.59520126713905,40.2691094477661
"210",308.54,49,3,1,730,-3.67720490202773,40.6682416021824
"211",304.58,39,2,0,960,-3.67650402544532,40.5972595634405
"212",349.26,59,2,0,1227,-3.58964279897045,40.6893461971078
"213",222.85,24,4,0,1600,-3.51066309874877,40.6602363781305
"214",445.45,58,1,0,1887,-3.87173842589837,40.440157785709
"215",333.39,63,3,0,970,-3.78133240002207,40.6246613938594
"216",251.54,42,5,0,1336,-3.48048564929049,40.4234731115168
"217",343.11,24,0,0,500,-3.48923751756083,40.3544878155692
"218",201.33,42,3,1,1278,-3.43161958651617,40.5866818193346
"219",326.36,53,7,0,1028,-3.81298110678326,40.5642928305781
"220",313.33,33,5,0,1510,-3.74129202435724,40.6845938337967
"221",323.63,49,6,0,929,-3.42200639992952,40.2638331373921
"222",360.38,38,3,0,537,-3.56543796041515,40.4823978507658
"223",155.93,18,7,0,907,-3.55970115398522,40.470962926792
"224",270.57,71,3,0,1389,-3.86524918684736,40.4734214795055
"225",329.34,60,3,0,1363,-3.61543118997943,40.6871464585885
"226",393.06,47,3,0,1020,-3.7014560311567,40.3624412167585
"227",380.7,49,2,0,560,-3.7019240135327,40.3612381830346
"228",336.36,43,3,0,1499,-3.50511762800161,40.4965112446109
"229",425.55,49,1,0,750,-3.566438593762,40.6807207884733
"230",408.28,48,0,0,7515,-3.66475345122162,40.256811239454
"231",376.39,32,1,0,966,-3.89459628772456,40.6876115598017
"232",279.26,30,4,1,3821,-3.84865090900566,40.3050026711309
"233",401.75,54,3,1,15238,-3.79809788239654,40.5328314612154
"234",387.74,52,2,0,1304,-3.641283392068,40.3926001062384
"235",317.14,50,1,0,1005,-3.45463551532011,40.642440528539
"236",329.22,33,3,0,2337,-3.72716451096348,40.3945678037591
"237",333.94,46,5,0,1872,-3.74820632822812,40.3702020623488
"238",409.28,50,2,1,4091,-3.7800197126111,40.5587255022721
"239",218.27,23,3,1,1449,-3.43262646391522,40.6204589087749
"240",373.28,46,3,0,1296,-3.76330217984505,40.4390464032069
"241",227.65,17,5,1,284,-3.85125683606602,40.4026551332092
"242",300.93,54,1,0,854,-3.41458796765655,40.6590205588611
"243",320.06,40,3,0,1483,-3.86796104940586,40.4813483630307
"244",428.95,56,2,0,829,-3.678734566411,40.5280505134026
"245",336.52,47,3,0,3056,-3.4326752346009,40.2664191163378
"246",343.3,51,2,0,1862,-3.53792618655134,40.6870086760493
"247",346.39,28,0,0,2012,-3.4393181637628,40.3835008992348
"248",267.23,49,5,0,1411,-3.61726538974326,40.5428933739197
"249",293.18,38,4,0,691,-3.86697059820872,40.3471220419044
"250",251.72,41,4,0,1053,-3.45520145932678,40.6347758396762
"251",401.18,55,3,0,669,-3.82503825377207,40.6656259656185
"252",379.07,37,1,0,1902,-3.4689309212612,40.2498327356763
"253",371.42,42,2,1,3468,-3.57145056312438,40.3125273555517
"254",310.34,60,6,0,684,-3.48370573236607,40.5760545692639
"255",442.01,54,4,0,603,-3.74829040942714,40.4490257249447
"256",380.69,43,2,0,1095,-3.46113351904787,40.3046992928023
"257",362.29,43,0,1,859,-3.44877338488586,40.4224098034203
"258",334.57,47,6,1,593,-3.64674100044649,40.2362250123872
"259",335.19,29,3,0,1699,-3.7984624100849,40.3204820109997
"260",223.18,33,6,1,604,-3.89550521455239,40.6824053337798
"261",342.18,45,5,0,2601,-3.79644783211406,40.276091669267
"262",404.3,56,0,0,1884,-3.8376263160957,40.5484541493235
"263",334.48,40,3,1,991,-3.56798631241545,40.2776324925246
"264",423.83,40,0,1,1825,-3.46223481334746,40.2362289773766
"265",343.14,35,3,0,849,-3.67652905427385,40.5463390418328
"266",291.77,10,4,0,924,-3.71420119595714,40.5480951046804
"267",402.1,41,1,0,1707,-3.64182036647107,40.5965036547743
"268",194.61,65,7,1,1157,-3.71195414497051,40.6422400358599
"269",320.77,40,2,0,1092,-3.48127709117252,40.274165801052
"270",363.6,35,3,0,422,-3.50861785907764,40.3003890372813
"271",280.89,41,4,0,615,-3.44595400753897,40.6830366740935
"272",401.39,58,0,0,9153,-3.82182313022204,40.5408685841132
"273",419.29,56,1,0,799,-3.84662285596132,40.6202757105231
"274",272.88,30,4,1,1158,-3.48778655063361,40.3026940841693
"275",270.87,44,4,1,694,-3.55547538606916,40.6089606669731
"276",292.24,64,4,0,924,-3.72198333961423,40.3264673552942
"277",333.07,43,3,0,1259,-3.61325026068371,40.3129805211676
"278",386.22,57,3,1,1276,-3.74429754782468,40.5444518625038
"279",334.72,55,2,0,2159,-3.4640429854393,40.6788059234852
"280",387.39,34,1,0,587,-3.85870980934706,40.4644513041014
"281",312.91,39,3,1,1392,-3.66473138201982,40.5987022795482
"282",324.24,41,2,0,1269,-3.41639279304072,40.3809935334604
"283",332.62,62,3,0,4547,-3.67825979678892,40.4207802789053
"284",315.12,23,2,0,5684,-3.79285751932766,40.4788963899948
"285",319.54,21,2,1,2281,-3.78170906167943,40.2223956969567
"286",394.87,45,2,1,815,-3.45839285685215,40.3101985821733
"287",184.57,19,6,0,969,-3.4401670349529,40.3288236897672
"288",439.52,39,0,0,1378,-3.47386187592056,40.5814563356573
"289",374.51,52,4,0,1437,-3.54354902657215,40.5367130469997
"290",295.42,51,3,1,1210,-3.43406521177385,40.6990927641047
"291",276.24,85,1,0,3769,-3.71758345360868,40.417815414886
"292",400.8,56,2,1,675,-3.54585982856806,40.3476544240722
"293",312.98,22,2,0,1650,-3.50817900614347,40.2114502090728
"294",442.57,51,1,0,5423,-3.4434999546269,40.5897172587458
"295",319.37,34,2,0,675,-3.58002261745278,40.4801798356231
"296",349.54,56,2,1,1043,-3.81718596837018,40.3728307795711
"297",366.15,58,4,0,1854,-3.79353788271546,40.6881679300452
"298",496.67,55,4,0,2146,-3.70314275017008,40.3346001668135
"299",314.69,43,2,0,520,-3.46520982575603,40.4934591294033
"300",309.27,69,2,1,2453,-3.82128643975593,40.5271860571113
"301",344.86,37,3,0,694,-3.64022046173923,40.2679368539713
"302",447.28,60,1,0,1504,-3.48118404308334,40.3690430404851
"303",399.15,60,3,0,1588,-3.78973092124797,40.6471556553617
"304",190.8,25,5,1,1858,-3.70745004955679,40.3353942209389
"305",367.19,47,2,0,1721,-3.601600224711,40.469971728907
"306",368.44,36,3,0,958,-3.88754449433181,40.6390861534048
"307",329.39,69,5,0,2578,-3.83644000566564,40.4299196542008
"308",365.57,41,1,1,2197,-3.75910107556265,40.2830532135442
"309",389.05,37,0,1,1332,-3.77129370123148,40.219873177167
"310",397.06,67,1,1,2009,-3.8564586650813,40.6513696493814
"311",218.81,24,2,1,341,-3.89651303701103,40.3701429141685
"312",364.15,32,2,0,652,-3.76879141244572,40.4820208340418
"313",285.19,47,4,1,1186,-3.72537246972788,40.5822629125789
"314",253.35,52,6,1,2255,-3.86381775895134,40.3300378841115
"315",348.93,45,2,0,871,-3.53392801780719,40.6234259008663
"316",382.79,42,2,0,826,-3.76174104269594,40.5902115593664
"317",394,35,1,1,1463,-3.71135269708466,40.3602188758552
"318",277.43,76,0,1,830,-3.62423493838869,40.570794025599
"319",345.58,40,5,0,1789,-3.81424140322488,40.290305738966
"320",230.26,21,2,0,1020,-3.69164346575271,40.680326790479
"321",270.55,33,3,0,856,-3.62873276728205,40.3218268772354
"322",370.53,44,5,0,13622,-3.53321156136226,40.6058356052265
"323",334.07,44,4,0,726,-3.77693558342289,40.3142767607234
"324",413.5,54,2,0,1396,-3.47644385006279,40.2044924650574
"325",286.75,69,6,1,1616,-3.80350168442819,40.4462772899307
"326",363.65,51,1,1,21763,-3.64372669542208,40.339559279196
"327",292.69,46,2,0,702,-3.47335763704032,40.2411101293284
"328",409.2,55,5,1,1627,-3.48341612841468,40.2906497407705
"329",218.86,25,5,0,1569,-3.812231438444,40.3929737122264
"330",367.86,55,0,0,1259,-3.61676142024808,40.6748882140266
"331",329.45,70,4,0,1620,-3.57774175456725,40.4223423952237
"332",293.93,29,3,0,800,-3.55702061436605,40.6975282329833
"333",433.43,49,3,0,2038,-3.52737924035173,40.2960636406671
"334",251.77,8,3,0,2138,-3.75327714961022,40.5241258960916
"335",394.73,55,1,0,1581,-3.56830235091038,40.4524840006372
"336",325.35,47,1,1,1915,-3.45624821607489,40.4569665845949
"337",297.16,33,3,0,606,-3.48233500737697,40.2305313223507
"338",300.74,51,7,0,1260,-3.56794195887633,40.5933259870391
"339",283.11,60,4,1,629,-3.58974937824532,40.3001992989332
"340",380.72,43,2,0,1375,-3.49147453261539,40.2901212269673
"341",401.24,51,1,1,2041,-3.47327424082905,40.4195438744966
"342",322.63,48,7,0,766,-3.80352376142982,40.5291880124016
"343",249.67,60,6,0,1664,-3.44124617087655,40.2848015162628
"344",285.84,59,5,0,884,-3.77867300084326,40.4065832600929
"345",256.79,32,3,0,1259,-3.8124725132715,40.458056123741
"346",409.03,44,1,0,1535,-3.88980723135173,40.2670800472144
"347",338.59,47,2,0,2501,-3.77356613052543,40.6952811348485
"348",328.52,39,4,0,2077,-3.64354214954656,40.6717456797371
"349",289.53,27,4,1,946,-3.63800914478488,40.6052367481636
"350",362.21,57,3,0,5509,-3.40290196051355,40.4514481345424
"351",310.86,38,1,1,875,-3.81472947993316,40.495968384482
"352",330.58,48,4,0,910,-3.79350614207797,40.4566444686381
"353",336.29,69,3,0,4142,-3.69366743180435,40.2621813631151
"354",186.47,79,5,1,3846,-3.85652373158373,40.6678612515563
"355",298.62,73,3,0,1296,-3.87253168700263,40.3903882221086
"356",275.56,30,4,0,2485,-3.49377855807543,40.4930570880417
"357",271.19,35,7,0,1913,-3.70115103977732,40.3970541686751
"358",333.15,33,5,0,2021,-3.44373387212399,40.3715401144465
"359",326.69,47,3,1,1011,-3.71913757906295,40.4952147963224
"360",271.29,32,3,0,2529,-3.70527109978721,40.2831017323071
"361",323.33,70,4,0,2058,-3.61387407789007,40.6868797491072
"362",382.37,46,4,0,1445,-3.79173704606947,40.47725318179
"363",321.64,26,2,0,2070,-3.56596820380073,40.3336771378992
"364",314.35,27,3,0,3579,-3.61952079457697,40.3108073953074
"365",293.81,51,1,0,3408,-3.87790052369237,40.369313030201
"366",283.02,48,4,0,1630,-3.56130401345436,40.4462181969313
"367",296.43,25,1,0,617,-3.65394024606794,40.2672629915644
"368",361.13,42,1,0,2242,-3.86097234101035,40.229985076515
"369",426.88,54,1,0,700,-3.84226866227109,40.5904933958547
"370",388.44,48,2,0,896,-3.45931622337084,40.353789118398
"371",104.59,89,3,0,964,-3.47731170312036,40.5434862310533
"372",253.23,70,5,0,1508,-3.62987301310059,40.2167456837371
"373",169.45,76,4,0,2381,-3.57309925134759,40.6563388762763
"374",263.93,44,5,1,709,-3.82336288432125,40.4815393169876
"375",238.65,21,4,1,2898,-3.61204050257802,40.6788879370317
"376",288.34,60,5,1,2405,-3.60834516722243,40.6156704427442
"377",373.69,54,6,0,1917,-3.64129835574422,40.2672307627974
"378",257.55,28,3,0,1089,-3.83033542658668,40.5657157337293
"379",267.03,23,2,0,782,-3.5776460588444,40.4462697979063
"380",316.14,38,1,0,1150,-3.44511987336446,40.5971997024491
"381",364.97,44,2,0,1616,-3.76984995973762,40.6711507085012
"382",250.8,32,1,0,532,-3.87405844274908,40.6715951611288
"383",344.09,54,5,1,1439,-3.59763745460659,40.3350281953346
"384",361.27,66,4,0,1371,-3.71168351334054,40.4467195142526
"385",273.93,35,2,0,535,-3.68573088266421,40.6942591758445
"386",333.56,52,4,0,2678,-3.49066761832219,40.427861253079
"387",221.4,18,0,1,1305,-3.89901601288002,40.4378913797438
"388",323.76,48,4,1,3868,-3.62424632217735,40.6795558878686
"389",315.26,49,2,1,1216,-3.65071759580169,40.4399449874647
"390",326.84,40,4,0,667,-3.64577477609273,40.209089700412
"391",300.88,33,3,0,1015,-3.81587902628817,40.4924244327005
"392",278.98,63,5,0,2579,-3.64493973318022,40.4864499753341
"393",148.97,22,5,1,1666,-3.83211822793819,40.3967084076023
"394",390.99,52,1,0,3083,-3.56637529525906,40.6401976265945
"395",406.28,60,0,0,1536,-3.51900929512922,40.3032006382011
"396",243.1,77,1,0,814,-3.58285531795118,40.3118300633971
"397",181.03,29,6,0,4337,-3.75365335922688,40.4717553280527
"398",296.86,24,3,0,481,-3.71516967259813,40.4257640564349
"399",309.98,37,5,0,1430,-3.47406198803801,40.3162794067059
"400",266.46,54,1,1,1195,-3.50407839121763,40.6607764544198
"401",328.45,32,2,0,2645,-3.75146372579038,40.4696609623963
"402",242.43,50,5,1,907,-3.50256942478009,40.5627690139692
"403",349.63,32,1,0,577,-3.78617774506565,40.6648061123444
"404",275.97,37,3,1,912,-3.46883792288136,40.579429725348
"405",250.72,32,4,0,1184,-3.66034854864702,40.6829888797831
"406",364.77,27,3,0,1858,-3.41630286336876,40.3698886918603
"407",412.1,26,4,0,1172,-3.63787968256511,40.2270279486431
"408",376.34,30,3,0,619,-3.51027068051044,40.2549140610965
"409",351.99,39,1,0,755,-3.87602071263827,40.6857597341761
"410",260.18,71,4,1,1922,-3.60300819061231,40.4228914051084
"411",230.85,41,5,1,1757,-3.7836461645551,40.4342544203857
"412",357.1,51,3,0,859,-3.43837152640335,40.5610497082118
"413",379.84,43,2,0,4038,-3.83161215784494,40.6516755914083
"414",265.19,33,2,0,980,-3.4739361520391,40.646799999103
"415",347.14,49,2,1,1207,-3.74356215037405,40.3340153024066
"416",382.19,48,2,0,849,-3.45074890283868,40.5882595960749
"417",388.56,50,1,0,5829,-3.52967893853784,40.6703046061331
"418",370.63,48,3,0,2030,-3.67736094139982,40.5316702767042
"419",304.17,63,5,1,1978,-3.51555868177675,40.586951446184
"420",380.25,56,4,0,1622,-3.81607841942459,40.5880168291507
"421",326.22,30,0,0,915,-3.59899288599845,40.5439132657368
"422",288.21,31,1,0,988,-3.42648723160382,40.3462455441942
"423",354.75,69,2,0,1064,-3.79288856368512,40.4001367112389
"424",402.06,55,2,0,960,-3.71663920171559,40.5453468160005
"425",344.4,55,2,1,1464,-3.86799925656524,40.4888437197544
"426",377.01,46,3,1,653,-3.79723470795434,40.6740486638621
"427",385.68,47,3,0,1683,-3.6512517569121,40.4630488459254
